A1 | Potato Crisps        | $3.05 |     0
A2 | Stackers             | $1.45 |     0
A3 | Grain Waves          | $2.75 |     0
A4 | Cloud Popcorn        | $3.65 |     0
B1 | Moonpie              | $1.80 |     0
B2 | Cowtales             | $1.50 |     0
B3 | Wonka Bar            | $1.50 |     0
B4 | Crunchie             | $1.75 |     0
C1 | Cola                 | $1.25 |     0
C2 | Dr. Salt             | $1.50 |     0
C3 | Mountain Melter      | $1.50 |     0
C4 | Heavy                | $1.50 |     0
D1 | U-Chews              | $0.85 |     0
D2 | Little League Chew   | $0.95 |     0
D3 | Chiclets             | $0.75 |     0
D4 | Triplemint           | $0.75 |     0
A1 | Potato Crisps        | $3.05 |     0
A2 | Stackers             | $1.45 |     0
A3 | Grain Waves          | $2.75 |     0
A4 | Cloud Popcorn        | $3.65 |    -1
B1 | Moonpie              | $1.80 |     0
B2 | Cowtales             | $1.50 |     0
B3 | Wonka Bar            | $1.50 |     0
B4 | Crunchie             | $1.75 |     0
C1 | Cola                 | $1.25 |     0
C2 | Dr. Salt             | $1.50 |    -1
C3 | Mountain Melter      | $1.50 |    -2
C4 | Heavy                | $1.50 |     0
D1 | U-Chews              | $0.85 |     0
D2 | Little League Chew   | $0.95 |    -1
D3 | Chiclets             | $0.75 |    -1
D4 | Triplemint           | $0.75 |     0
*** Total Sales *** 9.85
A1 | Potato Crisps        | $3.05 |     0
A2 | Stackers             | $1.45 |     0
A3 | Grain Waves          | $2.75 |     0
A4 | Cloud Popcorn        | $3.65 |     0
B1 | Moonpie              | $1.80 |     0
B2 | Cowtales             | $1.50 |     0
B3 | Wonka Bar            | $1.50 |     0
B4 | Crunchie             | $1.75 |     0
C1 | Cola                 | $1.25 |     0
C2 | Dr. Salt             | $1.50 |     0
C3 | Mountain Melter      | $1.50 |     5
C4 | Heavy                | $1.50 |     0
D1 | U-Chews              | $0.85 |     0
D2 | Little League Chew   | $0.95 |     0
D3 | Chiclets             | $0.75 |     0
D4 | Triplemint           | $0.75 |     0
*** Total Sales *** 12.00
A1 | Potato Crisps        | $3.05 |     0
A2 | Stackers             | $1.45 |     0
A3 | Grain Waves          | $2.75 |     0
A4 | Cloud Popcorn        | $3.65 |     0
B1 | Moonpie              | $1.80 |     0
B2 | Cowtales             | $1.50 |     0
B3 | Wonka Bar            | $1.50 |     0
B4 | Crunchie             | $1.75 |     0
C1 | Cola                 | $1.25 |     0
C2 | Dr. Salt             | $1.50 |     0
C3 | Mountain Melter      | $1.50 |     5
C4 | Heavy                | $1.50 |     0
D1 | U-Chews              | $0.85 |     0
D2 | Little League Chew   | $0.95 |     0
D3 | Chiclets             | $0.75 |     3
D4 | Triplemint           | $0.75 |     0
*** Total Sales *** 9.75
A1 | Potato Crisps        | $3.05 |     0
A2 | Stackers             | $1.45 |     0
A3 | Grain Waves          | $2.75 |     0
A4 | Cloud Popcorn        | $3.65 |     0
B1 | Moonpie              | $1.80 |     0
B2 | Cowtales             | $1.50 |     0
B3 | Wonka Bar            | $1.50 |     0
B4 | Crunchie             | $1.75 |     0
C1 | Cola                 | $1.25 |     0
C2 | Dr. Salt             | $1.50 |     0
C3 | Mountain Melter      | $1.50 |     0
C4 | Heavy                | $1.50 |     0
D1 | U-Chews              | $0.85 |     0
D2 | Little League Chew   | $0.95 |     0
D3 | Chiclets             | $0.75 |     0
D4 | Triplemint           | $0.75 |     0
*** Total Sales *** 020221230 - 12/30/22, 12:47 AM
A1 | Potato Crisps        | $3.05 |     0
A2 | Stackers             | $1.45 |     0
A3 | Grain Waves          | $2.75 |     0
A4 | Cloud Popcorn        | $3.65 |     0
B1 | Moonpie              | $1.80 |     0
B2 | Cowtales             | $1.50 |     0
B3 | Wonka Bar            | $1.50 |     0
B4 | Crunchie             | $1.75 |     0
C1 | Cola                 | $1.25 |     0
C2 | Dr. Salt             | $1.50 |     0
C3 | Mountain Melter      | $1.50 |     0
C4 | Heavy                | $1.50 |     0
D1 | U-Chews              | $0.85 |     0
D2 | Little League Chew   | $0.95 |     0
D3 | Chiclets             | $0.75 |     0
D4 | Triplemint           | $0.75 |     0
*** Total Sales *** 0 | 12/30/22, 12:48 AM
